Federal Office of Meteorology and Climatology MeteoSwiss
MeteoSchweiz / MeteoSuisse / MeteoSvizzera / MeteoSwiss

Monthly homogenized values

Station:                  Elm
Altitude [m asl]:         958 m
Coordinates:              46° 55.4' N / 9° 10.5' E

Reference date of homogenization:
         Temperature:     01.12.2020
         Precipitation:   01.12.2022

Last inhomogeneity provisionally corrected:
         Temperature:     no
         Precipitation:   no

Units:
         Temperature:     °C
         Precipitation:   mm

Missing values:           NA

Data source:              MeteoSwiss
Creation date:            20.08.2024


Year  Month        Temperature      Precipitation  
1916      5               10.4              112.4  
1916      6                9.9              246.5  
1916      7               12.9              129.0  
1916      8               12.5              208.6  
1916      9                8.1              166.7  
1916     10                5.5              197.6  
1916     11                1.3              122.3  
1916     12               -0.8              148.4  
1917      1               -6.6               74.3  
1917      2               -5.5               25.3  
1917      3               -1.2               74.8  
1917      4                1.2              162.6  
1917      5               12.7               52.9  
1917      6               14.7              103.2  
1917      7               13.7              194.2  
1917      8               12.9              296.3  
1917      9               12.3               51.5  
1917     10                2.8              315.3  
1917     11               -0.5               94.6  
1917     12               -5.6               46.3  
1918      1               -2.1               58.2  
1918      2               -2.4               38.0  
1918      3                1.2               37.7  
1918      4                5.8               94.1  
1918      5               10.8               40.2  
1918      6                9.4              228.1  
1918      7               13.9               89.7  
1918      8               12.5              153.9  
1918      9               10.5              138.4  
1918     10                4.6               57.1  
1918     11                1.3               49.5  
1918     12               -0.3              218.0  
1919      1               -3.9               59.7  
1919      2               -3.5               77.9  
1919      3                0.2              115.7  
1919      4                1.7              166.5  
1919      5                8.1               58.9  
1919      6               12.0              108.6  
1919      7               11.0              132.3  
1919      8               14.9               64.1  
1919      9               11.9               80.2  
1919     10                1.9               97.3  
1919     11               -0.6              167.0  
1919     12               -2.0              257.8  
1920      1               -0.9              153.0  
1920      2               -0.2               28.3  
1920      3                3.5               55.0  
1920      4                6.0               97.6  
1920      5               12.0              106.8  
1920      6               11.6               89.4  
1920      7               13.5              229.7  
1920      8               11.5               81.4  
1920      9               10.6              250.7  
1920     10                6.1                4.7  
1920     11                2.0                2.4  
1920     12               -2.9               50.7  
1921      1                0.1              108.4  
1921      2               -2.8               16.0  
1921      3                2.6               23.5  
1921      4                4.0               74.6  
1921      5               10.7               64.0  
1921      6               11.8              198.0  
1921      7               16.1               50.0  
1921      8               13.5              144.6  
1921      9               11.7              114.6  
1921     10                8.1               50.9  
1921     11               -1.9              141.1  
1921     12               -1.9               58.8  
1922      1               -4.5              221.0  
1922      2               -3.0              120.2  
1922      3                1.0              129.2  
1922      4                2.7              170.0  
1922      5               10.9               53.4  
1922      6               12.3              145.5  
1922      7               12.4              236.1  
1922      8               13.2              183.2  
1922      9                7.7              198.8  
1922     10                4.2              107.9  
1922     11               -2.0              150.3  
1922     12               -2.5              171.1  
1923      1               -4.6               88.3  
1923      2               -0.3              115.7  
1923      3                1.1               29.0  
1923      4                4.6               96.5  
1923      5                9.0              142.0  
1923      6                8.1              116.7  
1923      7               16.0               99.4  
1923      8               13.9              193.7  
1923      9               10.3              114.3  
1923     10                8.0              149.5  
1923     11                1.9              130.9  
1923     12               -3.5              285.8  
1924      1               -4.7               59.2  
1924      2               -5.7               51.4  
1924      3               -0.5               22.7  
1924      4                4.4              118.0  
1924      5               10.4              241.8  
1924      6               11.6              164.1  
1924      7               14.3              234.9  
1924      8               10.7              203.2  
1924      9               10.6              153.7  
1924     10                6.4               75.0  
1924     11                2.1               31.4  
1924     12               -1.8               48.4  
1925      1               -1.7               29.8  
1925      2               -0.6               84.7  
1925      3               -2.5               53.3  
1925      4                4.9              128.4  
1925      5                9.8               60.6  
1925      6               12.3               71.2  
1925      7               13.6              131.7  
1925      8               12.5              220.7  
1925      9                7.8              175.3  
1925     10                6.9               75.0  
1925     11               -0.8               61.5  
1925     12               -2.7              140.5  
1926      1               -3.0              102.9  
1926      2                2.9               57.0  
1926      3                1.5              105.6  
1926      4                6.3               76.0  
1926      5                7.4              231.0  
1926      6                9.5              254.6  
1926      7               12.7              200.1  
1926      8               13.3               94.3  
1926      9               12.2               75.5  
1926     10                6.6              146.6  
1926     11                5.2              174.7  
1926     12               -4.1              126.6  
1927      1               -3.1              139.3  
1927      2               -2.7               67.6  
1927      3                1.3              143.4  
1927      4                5.1              173.3  
1927      5               10.2               65.6  
1927      6               12.3              191.0  
1927      7               13.8              243.8  
1927      8               12.8              242.8  
1927      9               10.6              279.7  
1927     10                5.5               30.1  
1927     11                3.3               64.3  
1927     12               -2.2               25.2  
1928      1               -1.5               82.3  
1928      2               -1.2              149.7  
1928      3                1.8               62.3  
1928      4                5.2              152.2  
1928      5                6.8              179.9  
1928      6               12.5              123.7  
1928      7               16.9               82.4  
1928      8               14.5              185.0  
1928      9                9.9               70.9  
1928     10                5.8              214.9  
1928     11                2.8              181.8  
1928     12               -4.2               96.3  
1929      1               -7.5               53.8  
1929      2               -8.9               25.0  
1929      3                0.0               16.0  
1929      4                2.0              155.5  
1929      5                9.9              102.7  
1929      6               12.9              155.0  
1929      7               14.9              148.8  
1929      8               13.3              150.3  
1929      9               12.7               43.5  
1929     10                7.0              150.6  
1929     11                2.7               48.9  
1929     12                0.0              125.3  
1930      1                0.5               35.3  
1930      2               -3.4               15.5  
1930      3                2.5               86.3  
1930      4                5.7              121.8  
1930      5                8.4              218.4  
1930      6               15.2               92.1  
1930      7               13.0              198.1  
1930      8               13.1              212.0  
1930      9               11.0              198.2  
1930     10                5.7              181.5  
1930     11                3.8              128.1  
1930     12               -3.9               61.1  
1931      1               -4.3              169.7  
1931      2               -4.6              124.9  
1931      3               -2.0              119.3  
1931      4                3.5               75.0  
1931      5               11.9               90.8  
1931      6               14.5              141.9  
1931      7               13.3              230.8  
1931      8               11.7              228.6  
1931      9                6.2              106.3  
1931     10                5.1               59.4  
1931     11                3.1               34.9  
1931     12               -5.5               73.3  
1932      1               -1.9              108.1  
1932      2               -8.0                7.3  
1932      3               -0.7              107.9  
1932      4                3.5              124.6  
1932      5                8.5              217.8  
1932      6               11.1               77.0  
1932      7               13.3              205.3  
1932      8               16.0              155.2  
1932      9               13.6               97.0  
1932     10                5.7              157.6  
1932     11                1.6               68.0  
1932     12                0.8                5.7  
1933      1               -5.9               50.6  
1933      2               -3.1               85.4  
1933      3                1.9               52.3  
1933      4                5.0               81.4  
1933      5                7.6              250.5  
1933      6                9.7              220.8  
1933      7               14.9              205.3  
1933      8               14.2              109.3  
1933      9               11.4              150.7  
1933     10                6.6              121.3  
1933     11                0.8               72.5  
1933     12               -6.9               13.8  
1934      1               -4.0               87.3  
1934      2               -3.7               10.1  
1934      3                0.9               54.4  
1934      4                8.1               53.3  
1934      5               11.0               61.3  
1934      6               12.1              206.6  
1934      7               15.0              131.3  
1934      8               12.2              310.9  
1934      9               11.7               94.2  
1934     10                5.3              111.7  
1934     11                1.9               54.3  
1934     12                1.8               71.5  
1935      1               -6.8              116.1  
1935      2               -2.0              262.8  
1935      3               -0.5              100.7  
1935      4                3.4              168.8  
1935      5                7.7               73.7  
1935      6               14.7              121.7  
1935      7               14.9              142.1  
1935      8               12.4              238.1  
1935      9               10.9              135.5  
1935     10                5.5              349.3  
1935     11                3.4              105.3  
1935     12               -2.8              151.8  
1936      1                1.3              109.3  
1936      2               -1.8               49.9  
1936      3                3.1               39.5  
1936      4                4.6              107.9  
1936      5                9.3               94.1  
1936      6               12.0              165.3  
1936      7               12.9              343.5  
1936      8               12.8              119.5  
1936      9               10.4              168.3  
1936     10                1.9               98.9  
1936     11                1.1               22.8  
1936     12               -2.0              116.5  
1937      1               -1.7               91.0  
1937      2               -0.2              223.3  
1937      3               -0.4              146.9  
1937      4                4.5              125.1  
1937      5               11.6              101.4  
1937      6               13.9              102.9  
1937      7               14.5              178.6  
1937      8               13.1              163.7  
1937      9               10.1              235.9  
1937     10                7.7               90.6  
1937     11                0.9               57.4  
1937     12               -4.2               66.3  
1938      1               -3.1              160.2  
1938      2               -3.8               75.6  
1938      3                2.6               48.8  
1938      4                1.5               54.7  
1938      5                8.0              109.5  
1938      6               14.2              141.1  
1938      7               13.7              212.4  
1938      8               13.0              232.5  
1938      9               11.3               54.3  
1938     10                5.6               83.0  
1938     11                3.9               22.7  
1938     12               -3.1               70.6  
1939      1               -0.9               82.2  
1939      2               -1.5               35.1  
1939      3               -2.3              189.1  
1939      4                6.3               96.0  
1939      5                6.0              223.0  
1939      6               12.8              138.6  
1939      7               13.2              233.4  
1939      8               13.5              150.3  
1939      9                9.6              130.4  
1939     10                5.1              197.7  
1939     11                3.3              236.6  
1939     12               -3.4               74.7  
1940      1               -7.7               96.9  
1940      2               -3.6              113.8  
1940      3                0.7              119.3  
1940      4                5.6              114.8  
1940      5                8.9              161.4  
1940      6               11.9              132.2  
1940      7               12.6              298.2  
1940      8               11.7              185.1  
1940      9                9.9              197.9  
1940     10                6.2               60.1  
1940     11                1.5              173.4  
1940     12               -8.6              140.9  
1941      1               -5.5               56.0  
1941      2               -1.7               63.2  
1941      3                1.2               82.9  
1941      4                3.2               80.7  
1941      5                6.0              149.2  
1941      6               12.8               76.5  
1941      7               15.8              136.5  
1941      8               12.3              239.9  
1941      9                9.2               97.9  
1941     10                4.4              182.5  
1941     11                0.4               78.1  
1941     12               -4.3               61.4  
1942      1               -8.2               89.5  
1942      2               -6.4               22.5  
1942      3                2.5               82.1  
1942      4                5.5               58.0  
1942      5               10.0              115.6  
1942      6               12.6              138.7  
1942      7               13.6              122.2  
1942      8               13.7              171.2  
1942      9               12.5              164.3  
1942     10                9.1              161.4  
1942     11               -1.7               74.3  
1942     12               -0.4               23.1  
1943      1               -2.6              124.7  
1943      2               -1.5               52.2  
1943      3                3.7               55.7  
1943      4                6.2              111.2  
1943      5               10.4              120.9  
1943      6               11.1              207.7  
1943      7               14.4              135.4  
1943      8               15.2               74.3  
1943      9               11.6              236.1  
1943     10                8.8                0.0  
1943     11               -0.2               94.8  
1943     12               -2.0               38.3  
1944      1               -2.1               85.6  
1944      2               -4.9              131.8  
1944      3               -3.1              103.0  
1944      4                5.7               55.5  
1944      5                9.0               63.0  
1944      6               11.0              119.0  
1944      7               13.7              142.6  
1944      8               16.6               59.2  
1944      9                9.9              163.7  
1944     10                5.5              115.5  
1944     11                0.3              297.5  
1944     12               -4.1               80.8  
1945      1               -8.4               51.2  
1945      2                0.4              139.0  
1945      3                1.6              149.8  
1945      4                6.4              123.5  
1945      5               11.8              110.3  
1945      6               14.4              107.4  
1945      7               15.1               99.5  
1945      8               13.2              301.5  
1945      9               10.9              212.8  
1945     10                6.4              152.9  
1945     11               -0.7               61.4  
1945     12               -1.9              150.6  
1946      1               -5.4               76.8  
1946      2                0.1              209.5  
1946      3                1.8               44.7  
1946      4                7.7               25.0  
1946      5               11.2               89.2  
1946      6               11.6              210.1  
1946      7               15.0              146.8  
1946      8               13.1              195.4  
1946      9               11.7               70.1  
1946     10                5.0               97.4  
1946     11                0.4               61.7  
1946     12               -4.5               65.5  
1947      1               -6.5               69.9  
1947      2               -3.4               34.0  
1947      3                2.4              150.0  
1947      4                7.4               71.7  
1947      5               12.0              109.4  
1947      6               14.7              139.3  
1947      7               15.9              164.7  
1947      8               15.7               72.9  
1947      9               13.5               55.6  
1947     10                6.6               34.4  
1947     11                3.0              312.4  
1947     12               -2.2              139.2  
1948      1                0.6              143.4  
1948      2               -1.9              146.1  
1948      3                3.9               74.9  
1948      4                6.3               57.9  
1948      5               11.0               49.5  
1948      6               11.6              223.9  
1948      7               11.4              230.7  
1948      8               13.5              203.5  
1948      9               10.5               86.2  
1948     10                6.6               73.7  
1948     11                2.1               23.2  
1948     12               -2.3               43.7  
1949      1               -2.6               99.8  
1949      2               -2.7               32.4  
1949      3               -1.7               96.3  
1949      4                7.4              142.5  
1949      5                8.7               97.2  
1949      6               12.2               85.3  
1949      7               15.0              116.1  
1949      8               13.9              114.5  
1949      9               13.4               98.0  
1949     10                8.0               65.3  
1949     11                1.1               82.5  
1949     12               -0.6              100.4  
1950      1               -4.2              111.7  
1950      2               -0.1              140.5  
1950      3                1.1               34.9  
1950      4                3.9              135.0  
1950      5               11.5               80.2  
1950      6               15.1               94.4  
1950      7               16.1              154.6  
1950      8               14.1              196.8  
1950      9                9.9              146.7  
1950     10                5.7               27.6  
1950     11                1.3              256.9  
1950     12               -3.8               33.1  
1951      1               -1.2              188.3  
1951      2               -0.7              136.6  
1951      3               -0.4              119.4  
1951      4                4.4               85.7  
1951      5                9.1              102.7  
1951      6               12.3              185.4  
1951      7               14.8               79.2  
